Province,Crime_Category,Year,Total_Crimes,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling,Total,Total Cases
Eastern Cape,Drug-related crime,2014,16038.0,,,,,,,,,,,,,,,,,
Eastern Cape,Driving under the influence of alcohol or drugs,2014,6946.0,,,,,,,,,,,,,,,,,
Eastern Cape,Sexual offences detected as a result of police action,2014,219.0,,,,,,,,,,,,,,,,,
Eastern Cape,Crime detected as a result of police action,2014,24922.0,,,,,,,,,,,,,,,,,
Eastern Cape,Kidnapping,2014,407.0,,,,,,,,,,,,,,,,,
Free State,Murder,2014,943.0,,,,,,,,,,,,,,,,,
Free State,Sexual offences,2014,4094.0,,,,,,,,,,,,,,,,,
Free State,Attempted murder,2014,816.0,,,,,,,,,,,,,,,,,
Free State,Assault with the intent to inflict grievous bodily harm,2014,13458.0,,,,,,,,,,,,,,,,,
Free State,Common assault,2014,15243.0,,,,,,,,,,,,,,,,,
Free State,Common robbery,2014,2521.0,,,,,,,,,,,,,,,,,
Free State,Robbery with aggravating circumstances,2014,5239.0,,,,,,,,,,,,,,,,,
Free State,Contact crime (Crimes against the person),2014,42314.0,,,,,,,,,,,,,,,,,
Free State,Rape,2014,3290.0,,,,,,,,,,,,,,,,,
Free State,Sexual assault,2014,441.0,,,,,,,,,,,,,,,,,
Free State,Attempted sexual offences,2014,208.0,,,,,,,,,,,,,,,,,
Free State,Contact sexual offences,2014,155.0,,,,,,,,,,,,,,,,,
Free State,Carjacking,2014,270.0,,,,,,,,,,,,,,,,,
Free State,Robbery at non-residential premises,2014,852.0,,,,,,,,,,,,,,,,,
Free State,TRIO Crime,2014,1840.0,,,,,,,,,,,,,,,,,
Free State,Robbery of cash in transit,2014,9.0,,,,,,,,,,,,,,,,,
Free State,Bank robbery,2014,2.0,,,,,,,,,,,,,,,,,
Free State,Truck hijacking,2014,89.0,,,,,,,,,,,,,,,,,
Free State,Arson,2014,287.0,,,,,,,,,,,,,,,,,
Free State,Malicious damage to property,2014,7655.0,,,,,,,,,,,,,,,,,
Free State,Contact-related crime,2014,7942.0,,,,,,,,,,,,,,,,,
Free State,Burglary at non-residential premises,2014,4875.0,,,,,,,,,,,,,,,,,
Free State,Burglary at residential premises,2014,15618.0,,,,,,,,,,,,,,,,,
Free State,Theft of motor vehicle and motorcycle,2014,1743.0,,,,,,,,,,,,,,,,,
Free State,Theft out of or from motor vehicle,2014,5399.0,,,,,,,,,,,,,,,,,
Free State,Stock-theft,2014,3527.0,,,,,,,,,,,,,,,,,
Free State,Property-related crime,2014,31162.0,,,,,,,,,,,,,,,,,
Free State,All theft not mentioned elsewhere,2014,17180.0,,,,,,,,,,,,,,,,,
Free State,Commercial crime,2014,3806.0,,,,,,,,,,,,,,,,,
Free State,Shoplifting,2014,3148.0,,,,,,,,,,,,,,,,,
Free State,Other serious crime,2014,24134.0,,,,,,,,,,,,,,,,,
Free State,Illegal possession of firearms and ammunition,2014,442.0,,,,,,,,,,,,,,,,,
Free State,Drug-related crime,2014,8776.0,,,,,,,,,,,,,,,,,
Free State,Driving under the influence of alcohol or drugs,2014,1976.0,,,,,,,,,,,,,,,,,
Free State,Sexual offences detected as a result of police action,2014,193.0,,,,,,,,,,,,,,,,,
Free State,Crime detected as a result of police action,2014,11387.0,,,,,,,,,,,,,,,,,
Free State,Kidnapping,2014,211.0,,,,,,,,,,,,,,,,,
Gauteng,Murder,2014,3671.0,,,,,,,,,,,,,,,,,
Gauteng,Sexual offences,2014,9902.0,,,,,,,,,,,,,,,,,
Gauteng,Attempted murder,2014,4202.0,,,,,,,,,,,,,,,,,
Gauteng,Assault with the intent to inflict grievous bodily harm,2014,41830.0,,,,,,,,,,,,,,,,,
Gauteng,Common robbery,2014,17379.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery with aggravating circumstances,2014,47362.0,,,,,,,,,,,,,,,,,
Gauteng,Contact crime (Crimes against the person),2014,167264.0,,,,,,,,,,,,,,,,,
Gauteng,Rape,2014,7916.0,,,,,,,,,,,,,,,,,
Gauteng,Sexual assault,2014,1228.0,,,,,,,,,,,,,,,,,
Gauteng,Attempted sexual offences,2014,431.0,,,,,,,,,,,,,,,,,
Gauteng,Contact sexual offences,2014,327.0,,,,,,,,,,,,,,,,,
Gauteng,Carjacking,2014,6867.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery at residential premises,2014,8174.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery at non-residential premises,2014,6329.0,,,,,,,,,,,,,,,,,
Gauteng,TRIO Crime,2014,21370.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery of cash in transit,2014,39.0,,,,,,,,,,,,,,,,,
Gauteng,Bank robbery,2014,9.0,,,,,,,,,,,,,,,,,
Gauteng,Truck hijacking,2014,804.0,,,,,,,,,,,,,,,,,
Gauteng,Arson,2014,1042.0,,,,,,,,,,,,,,,,,
Gauteng,Malicious damage to property,2014,34805.0,,,,,,,,,,,,,,,,,
Gauteng,Contact-related crime,2014,35847.0,,,,,,,,,,,,,,,,,
Gauteng,Burglary at non-residential premises,2014,16983.0,,,,,,,,,,,,,,,,,
Gauteng,Burglary at residential premises,2014,66172.0,,,,,,,,,,,,,,,,,
Gauteng,Theft of motor vehicle and motorcycle,2014,27147.0,,,,,,,,,,,,,,,,,
Gauteng,Theft out of or from motor vehicle,2014,44809.0,,,,,,,,,,,,,,,,,
Gauteng,Stock-theft,2014,801.0,,,,,,,,,,,,,,,,,
Gauteng,Property-related crime,2014,155912.0,,,,,,,,,,,,,,,,,
Gauteng,All theft not mentioned elsewhere,2014,109422.0,,,,,,,,,,,,,,,,,
Gauteng,Commercial crime,2014,23836.0,,,,,,,,,,,,,,,,,
Gauteng,Shoplifting,2014,22562.0,,,,,,,,,,,,,,,,,
Gauteng,17 Community reported serious crime,2014,514843.0,,,,,,,,,,,,,,,,,
Gauteng,Illegal possession of firearms and ammunition,2014,3740.0,,,,,,,,,,,,,,,,,
Gauteng,Drug-related crime,2014,70264.0,,,,,,,,,,,,,,,,,
Gauteng,Driving under the influence of alcohol or drugs,2014,25794.0,,,,,,,,,,,,,,,,,
Gauteng,Sexual offences detected as a result of police action,2014,469.0,,,,,,,,,,,,,,,,,
Gauteng,Crime detected as a result of police action,2014,100267.0,,,,,,,,,,,,,,,,,
Gauteng,Kidnapping,2014,1595.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Sexual offences,2014,9079.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Attempted murder,2014,3918.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Assault with the intent to inflict grievous bodily harm,2014,29201.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Common assault,2014,24011.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Common robbery,2014,7857.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Robbery with aggravating circumstances,2014,20881.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Contact crime (Crimes against the person),2014,98757.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Rape,2014,7427.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Sexual assault,2014,1138.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Attempted sexual offences,2014,274.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Contact sexual offences,2014,240.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Carjacking,2014,2190.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Robbery at residential premises,2014,3958.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Robbery at non-residential premises,2014,2750.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Robbery of cash in transit,2014,18.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Bank robbery,2014,0.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Truck hijacking,2014,63.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Arson,2014,854.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Malicious damage to property,2014,14605.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Contact-related crime,2014,15459.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Burglary at non-residential premises,2014,11032.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Burglary at residential premises,2014,43274.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Theft of motor vehicle and motorcycle,2014,8404.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Theft out of or from motor vehicle,2014,18148.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Stock-theft,2014,5956.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Property-related crime,2014,86814.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,All theft not mentioned elsewhere,2014,47622.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Commercial crime,2014,11227.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Shoplifting,2014,14118.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Other serious crime,2014,72967.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,17 Community reported serious crime,2014,273997.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Illegal possession of firearms and ammunition,2014,4081.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Drug-related crime,2014,47377.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Sexual offences detected as a result of police action,2014,2258.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Crime detected as a result of police action,2014,65418.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Kidnapping,2014,935.0,,,,,,,,,,,,,,,,,
Limpopo,Murder,2014,775.0,,,,,,,,,,,,,,,,,
Limpopo,Sexual offences,2014,4312.0,,,,,,,,,,,,,,,,,
Limpopo,Attempted murder,2014,791.0,,,,,,,,,,,,,,,,,
Limpopo,Assault with the intent to inflict grievous bodily harm,2014,13501.0,,,,,,,,,,,,,,,,,
Limpopo,Common assault,2014,9067.0,,,,,,,,,,,,,,,,,
Limpopo,Common robbery,2014,3381.0,,,,,,,,,,,,,,,,,
Limpopo,Robbery with aggravating circumstances,2014,6116.0,,,,,,,,,,,,,,,,,
Limpopo,Contact crime (Crimes against the person),2014,37943.0,,,,,,,,,,,,,,,,,
Limpopo,Rape,2014,3725.0,,,,,,,,,,,,,,,,,
Limpopo,Sexual assault,2014,245.0,,,,,,,,,,,,,,,,,
Limpopo,Attempted sexual offences,2014,262.0,,,,,,,,,,,,,,,,,
Limpopo,Contact sexual offences,2014,80.0,,,,,,,,,,,,,,,,,
Limpopo,Carjacking,2014,344.0,,,,,,,,,,,,,,,,,
Limpopo,Robbery at non-residential premises,2014,1521.0,,,,,,,,,,,,,,,,,
Limpopo,Robbery of cash in transit,2014,9.0,,,,,,,,,,,,,,,,,
Limpopo,Bank robbery,2014,1.0,,,,,,,,,,,,,,,,,
Limpopo,Truck hijacking,2014,26.0,,,,,,,,,,,,,,,,,
Limpopo,Arson,2014,584.0,,,,,,,,,,,,,,,,,
Limpopo,Malicious damage to property,2014,6944.0,,,,,,,,,,,,,,,,,
Limpopo,Contact-related crime,2014,7528.0,,,,,,,,,,,,,,,,,
Limpopo,Burglary at non-residential premises,2014,7042.0,,,,,,,,,,,,,,,,,
Limpopo,Burglary at residential premises,2014,16430.0,,,,,,,,,,,,,,,,,
Limpopo,Theft of motor vehicle and motorcycle,2014,988.0,,,,,,,,,,,,,,,,,
Limpopo,Theft out of or from motor vehicle,2014,5489.0,,,,,,,,,,,,,,,,,
Limpopo,Stock-theft,2014,1642.0,,,,,,,,,,,,,,,,,
Limpopo,Property-related crime,2014,31591.0,,,,,,,,,,,,,,,,,
Limpopo,All theft not mentioned elsewhere,2014,19010.0,,,,,,,,,,,,,,,,,
Limpopo,Commercial crime,2014,3495.0,,,,,,,,,,,,,,,,,
Limpopo,Shoplifting,2014,3909.0,,,,,,,,,,,,,,,,,
Limpopo,Other serious crime,2014,26414.0,,,,,,,,,,,,,,,,,
Limpopo,17 Community reported serious crime,2014,103476.0,,,,,,,,,,,,,,,,,
Limpopo,Illegal possession of firearms and ammunition,2014,471.0,,,,,,,,,,,,,,,,,
Limpopo,Drug-related crime,2014,11702.0,,,,,,,,,,,,,,,,,
Limpopo,Driving under the influence of alcohol or drugs,2014,3214.0,,,,,,,,,,,,,,,,,
Limpopo,Sexual offences detected as a result of police action,2014,2917.0,,,,,,,,,,,,,,,,,
Limpopo,Crime detected as a result of police action,2014,18304.0,,,,,,,,,,,,,,,,,
Limpopo,Kidnapping,2014,228.0,,,,,,,,,,,,,,,,,
Mpumalanga,Murder,2014,833.0,,,,,,,,,,,,,,,,,
Mpumalanga,Sexual offences,2014,3474.0,,,,,,,,,,,,,,,,,
Mpumalanga,Attempted murder,2014,705.0,,,,,,,,,,,,,,,,,
Mpumalanga,Assault with the intent to inflict grievous bodily harm,2014,10788.0,,,,,,,,,,,,,,,,,
Mpumalanga,Common assault,2014,7516.0,,,,,,,,,,,,,,,,,
Mpumalanga,Common robbery,2014,2935.0,,,,,,,,,,,,,,,,,
Mpumalanga,Robbery with aggravating circumstances,2014,5663.0,,,,,,,,,,,,,,,,,
Mpumalanga,Contact crime (Crimes against the person),2014,31914.0,,,,,,,,,,,,,,,,,
Mpumalanga,Rape,2014,3000.0,,,,,,,,,,,,,,,,,
Mpumalanga,Sexual assault,2014,221.0,,,,,,,,,,,,,,,,,
Mpumalanga,Attempted sexual offences,2014,174.0,,,,,,,,,,,,,,,,,
Mpumalanga,Contact sexual offences,2014,79.0,,,,,,,,,,,,,,,,,
Mpumalanga,Carjacking,2014,510.0,,,,,,,,,,,,,,,,,
Mpumalanga,Robbery at residential premises,2014,1114.0,,,,,,,,,,,,,,,,,
Mpumalanga,Robbery at non-residential premises,2014,1367.0,,,,,,,,,,,,,,,,,
Mpumalanga,TRIO Crime,2014,2991.0,,,,,,,,,,,,,,,,,
Mpumalanga,Robbery of cash in transit,2014,14.0,,,,,,,,,,,,,,,,,
Mpumalanga,Truck hijacking,2014,156.0,,,,,,,,,,,,,,,,,
Mpumalanga,Arson,2014,292.0,,,,,,,,,,,,,,,,,
Mpumalanga,Contact-related crime,2014,6146.0,,,,,,,,,,,,,,,,,
Mpumalanga,Burglary at residential premises,2014,18219.0,,,,,,,,,,,,,,,,,
Mpumalanga,Theft of motor vehicle and motorcycle,2014,2303.0,,,,,,,,,,,,,,,,,
Mpumalanga,Theft out of or from motor vehicle,2014,8011.0,,,,,,,,,,,,,,,,,
Mpumalanga,Stock-theft,2014,2216.0,,,,,,,,,,,,,,,,,
Mpumalanga,Property-related crime,2014,36296.0,,,,,,,,,,,,,,,,,
Mpumalanga,All theft not mentioned elsewhere,2014,18934.0,,,,,,,,,,,,,,,,,
Mpumalanga,Commercial crime,2014,4499.0,,,,,,,,,,,,,,,,,
Mpumalanga,Shoplifting,2014,3494.0,,,,,,,,,,,,,,,,,
Mpumalanga,Other serious crime,2014,26927.0,,,,,,,,,,,,,,,,,
Mpumalanga,Illegal possession of firearms and ammunition,2014,1071.0,,,,,,,,,,,,,,,,,
Mpumalanga,Drug-related crime,2014,8855.0,,,,,,,,,,,,,,,,,
Mpumalanga,Driving under the influence of alcohol or drugs,2014,2974.0,,,,,,,,,,,,,,,,,
Mpumalanga,Sexual offences detected as a result of police action,2014,46.0,,,,,,,,,,,,,,,,,
Mpumalanga,Crime detected as a result of police action,2014,12946.0,,,,,,,,,,,,,,,,,
Mpumalanga,Kidnapping,2014,324.0,,,,,,,,,,,,,,,,,
North West,Murder,2014,853.0,,,,,,,,,,,,,,,,,
North West,Sexual offences,2014,4585.0,,,,,,,,,,,,,,,,,
North West,Attempted murder,2014,984.0,,,,,,,,,,,,,,,,,
North West,Assault with the intent to inflict grievous bodily harm,2014,13334.0,,,,,,,,,,,,,,,,,
North West,Common assault,2014,6930.0,,,,,,,,,,,,,,,,,
North West,Common robbery,2014,2419.0,,,,,,,,,,,,,,,,,
North West,Robbery with aggravating circumstances,2014,5977.0,,,,,,,,,,,,,,,,,
North West,Contact crime (Crimes against the person),2014,35082.0,,,,,,,,,,,,,,,,,
North West,Rape,2014,3771.0,,,,,,,,,,,,,,,,,
North West,Sexual assault,2014,310.0,,,,,,,,,,,,,,,,,
North West,Attempted sexual offences,2014,315.0,,,,,,,,,,,,,,,,,
North West,Contact sexual offences,2014,189.0,,,,,,,,,,,,,,,,,
North West,Carjacking,2014,278.0,,,,,,,,,,,,,,,,,
North West,Robbery at residential premises,2014,1110.0,,,,,,,,,,,,,,,,,
North West,Robbery at non-residential premises,2014,1419.0,,,,,,,,,,,,,,,,,
North West,TRIO Crime,2014,2807.0,,,,,,,,,,,,,,,,,
North West,Bank robbery,2014,1.0,,,,,,,,,,,,,,,,,
North West,Truck hijacking,2014,45.0,,,,,,,,,,,,,,,,,
North West,Arson,2014,329.0,,,,,,,,,,,,,,,,,
North West,Malicious damage to property,2014,5902.0,,,,,,,,,,,,,,,,,
North West,Contact-related crime,2014,6231.0,,,,,,,,,,,,,,,,,
North West,Burglary at non-residential premises,2014,5080.0,,,,,,,,,,,,,,,,,
North West,Burglary at residential premises,2014,15687.0,,,,,,,,,,,,,,,,,
North West,Theft of motor vehicle and motorcycle,2014,1984.0,,,,,,,,,,,,,,,,,
North West,Theft out of or from motor vehicle,2014,6349.0,,,,,,,,,,,,,,,,,
North West,Stock-theft,2014,2574.0,,,,,,,,,,,,,,,,,
North West,Property-related crime,2014,31674.0,,,,,,,,,,,,,,,,,
North West,All theft not mentioned elsewhere,2014,17943.0,,,,,,,,,,,,,,,,,
North West,Commercial crime,2014,4016.0,,,,,,,,,,,,,,,,,
North West,Shoplifting,2014,2270.0,,,,,,,,,,,,,,,,,
North West,Other serious crime,2014,24229.0,,,,,,,,,,,,,,,,,
North West,17 Community reported serious crime,2014,97216.0,,,,,,,,,,,,,,,,,
North West,Illegal possession of firearms and ammunition,2014,531.0,,,,,,,,,,,,,,,,,
North West,Drug-related crime,2014,11632.0,,,,,,,,,,,,,,,,,
North West,Driving under the influence of alcohol or drugs,2014,1927.0,,,,,,,,,,,,,,,,,
North West,Sexual offences detected as a result of police action,2014,106.0,,,,,,,,,,,,,,,,,
North West,Crime detected as a result of police action,2014,14196.0,,,,,,,,,,,,,,,,,
North West,Kidnapping,2014,321.0,,,,,,,,,,,,,,,,,
Northern Cape,Murder,2014,413.0,,,,,,,,,,,,,,,,,
Northern Cape,Sexual offences,2014,1578.0,,,,,,,,,,,,,,,,,
Northern Cape,Attempted murder,2014,562.0,,,,,,,,,,,,,,,,,
Northern Cape,Assault with the intent to inflict grievous bodily harm,2014,8813.0,,,,,,,,,,,,,,,,,
Northern Cape,Common assault,2014,4803.0,,,,,,,,,,,,,,,,,
Northern Cape,Common robbery,2014,1262.0,,,,,,,,,,,,,,,,,
Northern Cape,Robbery with aggravating circumstances,2014,1446.0,,,,,,,,,,,,,,,,,
Northern Cape,Contact crime (Crimes against the person),2014,18877.0,,,,,,,,,,,,,,,,,
Northern Cape,Rape,2014,1181.0,,,,,,,,,,,,,,,,,
Northern Cape,Sexual assault,2014,228.0,,,,,,,,,,,,,,,,,
Northern Cape,Attempted sexual offences,2014,128.0,,,,,,,,,,,,,,,,,
Northern Cape,Contact sexual offences,2014,41.0,,,,,,,,,,,,,,,,,
Northern Cape,Carjacking,2014,15.0,,,,,,,,,,,,,,,,,
Northern Cape,Robbery at residential premises,2014,123.0,,,,,,,,,,,,,,,,,
Northern Cape,Robbery at non-residential premises,2014,240.0,,,,,,,,,,,,,,,,,
Northern Cape,TRIO Crime,2014,378.0,,,,,,,,,,,,,,,,,
Northern Cape,Robbery of cash in transit,2014,0.0,,,,,,,,,,,,,,,,,
Northern Cape,Bank robbery,2014,1.0,,,,,,,,,,,,,,,,,
Northern Cape,Truck hijacking,2014,0.0,,,,,,,,,,,,,,,,,
Northern Cape,Arson,2014,172.0,,,,,,,,,,,,,,,,,
Northern Cape,Malicious damage to property,2014,3209.0,,,,,,,,,,,,,,,,,
Northern Cape,Contact-related crime,2014,3381.0,,,,,,,,,,,,,,,,,
Northern Cape,Burglary at non-residential premises,2014,2270.0,,,,,,,,,,,,,,,,,
Northern Cape,Burglary at residential premises,2014,6204.0,,,,,,,,,,,,,,,,,
Northern Cape,Theft of motor vehicle and motorcycle,2014,327.0,,,,,,,,,,,,,,,,,
Northern Cape,Theft out of or from motor vehicle,2014,2898.0,,,,,,,,,,,,,,,,,
Northern Cape,Stock-theft,2014,1331.0,,,,,,,,,,,,,,,,,
Northern Cape,Property-related crime,2014,13030.0,,,,,,,,,,,,,,,,,
Northern Cape,All theft not mentioned elsewhere,2014,7437.0,,,,,,,,,,,,,,,,,
Northern Cape,Commercial crime,2014,997.0,,,,,,,,,,,,,,,,,
Northern Cape,Shoplifting,2014,1360.0,,,,,,,,,,,,,,,,,
Northern Cape,17 Community reported serious crime,2014,45082.0,,,,,,,,,,,,,,,,,
Northern Cape,Illegal possession of firearms and ammunition,2014,102.0,,,,,,,,,,,,,,,,,
Northern Cape,Drug-related crime,2014,3527.0,,,,,,,,,,,,,,,,,
Northern Cape,Driving under the influence of alcohol or drugs,2014,804.0,,,,,,,,,,,,,,,,,
Northern Cape,Sexual offences detected as a result of police action,2014,3.0,,,,,,,,,,,,,,,,,
Northern Cape,Crime detected as a result of police action,2014,4436.0,,,,,,,,,,,,,,,,,
